date,location,percent_fully,left
2021-04-19,Canada,0.024733191587327667,0.22193882559494413
2021-04-20,Canada,0.025037360742259644,0.22763643318001142
2021-04-21,Canada,0.025381299749243268,0.23534055035593224
2021-04-22,Canada,0.025820331360499615,0.24401376953627746
2021-04-23,Canada,0.02632281986427008,0.2527671643144296
2021-04-24,Canada,0.02672473118057349,0.2595480433193047
2021-04-25,Canada,0.026980121989318203,0.265179994879466
2021-04-26,Canada,0.027214925739405937,0.2716719396827267
2021-04-27,Canada,0.027716380915907907,0.2774662031107549
2021-04-28,Canada,0.028123352886269853,0.28359253552996455
2021-04-29,Canada,0.02866961207331102,0.2905971961273967
2021-04-30,Canada,0.02888319287103808,0.29780942302794194
2021-05-01,Canada,0.029617544116516712,0.302492382722058
2021-05-02,Canada,0.02990761762768355,0.3064986455331633
2021-05-03,Canada,0.03012220525710812,0.31205784025539396
2021-05-04,Canada,0.030632271494180897,0.3172043929550714
2021-05-05,Canada,0.031104793507164944,0.3237796663290866
2021-05-06,Canada,0.03169310116536265,0.3320520870071098
2021-05-07,Canada,0.032351595591105196,0.3413462828846799
2021-05-08,Canada,0.032880924108285595,0.34894804766987747
2021-05-09,Canada,0.033091139968497295,0.35556242850666964
2021-05-10,Canada,0.033573200387036706,0.3636226991477991
2021-05-11,Canada,0.03405716848668718,0.37059752573229987
2021-05-12,Canada,0.03466389056672092,0.378572136192428
2021-05-13,Canada,0.03540303751054822,0.38751110594977384
2021-05-14,Canada,0.03630897407373935,0.39726303931171714
2021-05-15,Canada,0.03697499324164223,0.40558842463614364
2021-05-16,Canada,0.037384270326680055,0.4131707151766657
2021-05-17,Canada,0.03774667674664169,0.4227797844198465
2021-05-18,Canada,0.03843831713168911,0.428891968204149
2021-05-19,Canada,0.039372895407117296,0.43644980333265
2021-05-20,Canada,0.040526062143189115,0.44466139017968687
2021-05-21,Canada,0.04190534208206489,0.4548385244648312
2021-05-22,Canada,0.04317699701159104,0.4625841337049178
2021-05-23,Canada,0.04381379156469515,0.46948434876151884
2021-05-24,Canada,0.04431498178548725,0.4778862532949561
2021-05-25,Canada,0.044925731192311025,0.48345236336121433
2021-05-26,Canada,0.046200804050494516,0.48888594258139506
2021-05-12,Cape Verde,0.004798664719382432,0.028745224717080225
2021-05-18,Cape Verde,0.004802261919322,0.030914336280639148
2021-05-21,Cape Verde,0.004802261919322,0.033610437635344645
2021-05-26,Cape Verde,0.004890393317841392,0.034072677827579015
2021-02-04,Cayman Islands,0.0486457699330493,0.0702069385270846
2021-02-09,Cayman Islands,0.07258064516129033,0.06191418137553255
2021-02-10,Cayman Islands,0.07872793670115642,0.056877662811929394
2021-02-12,Cayman Islands,0.09694157029823494,0.04262020693852708
2021-02-17,Cayman Islands,0.10562994522215459,0.043228849665246497
2021-02-19,Cayman Islands,0.10663420572124163,0.04974132684114424
2021-02-20,Cayman Islands,0.11622032866707242,0.04386792452830189
2021-02-23,Cayman Islands,0.11705721241631163,0.06926354230066949
2021-02-24,Cayman Islands,0.11804625684723068,0.07534996956786368
2021-03-05,Cayman Islands,0.13508825319537432,0.1342665855143031
